Id,Time,Clipped Edges,HipCenter,Spine,ShoulderCenter,Head,ShoulderLeft,ElbowLeft,WristLeft,HandLeft,ShoulderRight,ElbowRight,WristRight,HandRight,HipLeft,KneeLeft,AnkleLeft,FootLeft,HipRight,KneeRight,AnkleRight,Class
1,0.0200153,-0.3014402,-0.3008801,-0.2884384,-0.2709138,-0.4670434,-0.5239125,-0.5501519,-0.5606456,-0.1176529,-0.07766194,-0.05077618,-0.04127074,-0.3825685,-0.4515708,-0.4349683,-0.4293025,-0.2254354,-0.2188429,-0.2053359,-0.227809,1
2,0.0320244,-0.3014496,-0.3008695,-0.2883776,-0.27109,-0.4674858,-0.523931,-0.5688238,-0.5724392,-0.1176286,-0.07766075,-0.05049886,-0.04078255,-0.3826702,-0.4515631,-0.4207642,-0.4181537,-0.2254668,-0.2190471,-0.2050542,-0.2278084,1
3,0.0480341,-0.3014632,-0.300861,-0.2883357,-0.271464,-0.4683824,-0.5239766,-0.5530986,-0.5690174,-0.1176413,-0.077674,-0.05031051,-0.04087476,-0.3827766,-0.451461,-0.4154141,-0.4170691,-0.2254961,-0.2192003,-0.2042949,-0.2282308,1
4,0.0810568,-0.3014659,-0.3008528,-0.2883024,-0.2717859,-0.4685096,-0.5239811,-0.549611,-0.5663672,-0.1176369,-0.07769002,-0.05010618,-0.04097957,-0.3828332,-0.4529641,-0.4964617,-0.4573731,-0.2254955,-0.2194622,-0.2043191,-0.2292795,1
5,0.1020731,-0.3014792,-0.3008491,-0.2882812,-0.2720606,-0.4685019,-0.5240744,-0.5477905,-0.5642016,-0.1176634,-0.07770523,-0.04999995,-0.04099568,-0.3829648,-0.4455558,-0.5171468,-0.444587,-0.2255063,-0.21965,-0.2247152,-0.2332228,1
6,0.1320977,-0.3014845,-0.3008447,-0.2882654,-0.2721561,-0.4685355,-0.5239797,-0.546921,-0.5628903,-0.1176642,-0.07771857,-0.0496661,-0.04098081,-0.3830324,-0.4434252,-0.4893498,-0.4620522,-0.2255031,-0.2147258,-0.2179203,-0.2347062,1
7,0.161117,-0.3014907,-0.3008599,-0.288241,-0.2722152,-0.4675612,-0.5238998,-0.5464948,-0.5618395,-0.1175806,-0.07774062,-0.04945095,-0.04097434,-0.3830799,-0.452163,-0.4574448,-0.4212813,-0.2255028,-0.2138644,-0.2326833,-0.2365409,1
8,0.1931381,-0.3015023,-0.3008814,-0.2882215,-0.272505,-0.4671535,-0.5238225,-0.5463207,-0.561095,-0.1174804,-0.07776348,-0.04936743,-0.04102756,-0.3831289,-0.4510402,-0.4159107,-0.455594,-0.2255155,-0.2139862,-0.2199585,-0.2367074,1
9,0.2551806,-0.3015525,-0.3009073,-0.2882044,-0.269998,-0.4673748,-0.5235858,-0.5462151,-0.5605095,-0.117396,-0.07778682,-0.04935862,-0.04116117,-0.3833084,-0.4216378,-0.4013264,-0.4350897,-0.225574,-0.2144507,-0.2136764,-0.2400007,1
10,0.2791977,-0.3016353,-0.3010068,-0.2881394,-0.2708953,-0.4674354,-0.5236729,-0.5477594,-0.5601931,-0.1173633,-0.07785923,-0.04932411,-0.04127982,-0.383438,-0.4287448,-0.415921,-0.4273042,-0.2256573,-0.2155372,-0.2100744,-0.2411258,1
11,0.3112204,-0.3017001,-0.3010362,-0.288105,-0.2718782,-0.4691631,-0.523613,-0.5481274,-0.559417,-0.1173346,-0.07789887,-0.04944336,-0.04288434,-0.3835476,-0.4376286,-0.3918361,-0.4160966,-0.2257411,-0.2169091,-0.2358935,-0.2445338,1
12,0.3522515,-0.3017589,-0.3010845,-0.2880015,-0.271826,-0.4694202,-0.5236006,-0.5483266,-0.5587646,-0.1173182,-0.07794787,-0.04955534,-0.0441266,-0.3836257,-0.444082,-0.4575608,-0.4668922,-0.2258499,-0.2176017,-0.2165774,-0.2456048,1
13,0.3872745,-0.3018754,-0.3011747,-0.288028,-0.2718231,-0.4696264,-0.5235968,-0.5484607,-0.5576233,-0.1173147,-0.07801423,-0.04969079,-0.04496447,-0.3837646,-0.4478431,-0.4815773,-0.4883499,-0.2260069,-0.2154647,-0.2110868,-0.2461402,1
14,0.4222997,-0.3019646,-0.3012635,-0.2880405,-0.2718007,-0.4697422,-0.5236001,-0.5487437,-0.556975,-0.1172387,-0.07807498,-0.04981159,-0.04530915,-0.3838709,-0.4488614,-0.4875549,-0.4558056,-0.2261193,-0.2152336,-0.2196389,-0.2448256,1
15,0.4473183,-0.3020395,-0.3013178,-0.2880455,-0.2717714,-0.4696823,-0.5235987,-0.5497419,-0.5563314,-0.1174612,-0.07813755,-0.0499079,-0.04519454,-0.3839403,-0.4484757,-0.5129943,-0.4622383,-0.2262334,-0.2152576,-0.2103813,-0.2335167,1
16,0.4813425,-0.3021106,-0.3013844,-0.2880817,-0.2717661,-0.4695906,-0.5235368,-0.5500182,-0.5557954,-0.1174949,-0.07820909,-0.04979642,-0.04473937,-0.3839908,-0.4479581,-0.4531075,-0.4427623,-0.2263564,-0.2141083,-0.2077063,-0.2427824,1
17,0.5203699,-0.3022524,-0.3015201,-0.2876014,-0.2715837,-0.4677784,-0.524751,-0.5501282,-0.55398,-0.117564,-0.07822368,-0.04933996,-0.04400323,-0.3840627,-0.4522501,-0.4420118,-0.4399842,-0.2265369,-0.2170985,-0.2192789,-0.2410917,1
